user_id,song_id,interaction
example_user_id,4sYbZjRCyaFqCtJ2Uvfh8B,playlist
example_user_id,1TlTzdsEpgfsmbuNfYmWfG,playlist
example_user_id,2Qn6WHJrY5Im82Jux8FboH,playlist
example_user_id,0QzuaeCEEOV40Pn7IvKEny,playlist
example_user_id,4t5joZkdlXlvzLXJbkgppJ,playlist
example_user_id,7LaI3mRTJu66r9HKdv7iBx,playlist
example_user_id,6PGoSes0D9eUDeeAafB2As,playlist
example_user_id,7DfFc7a6Rwfi3YQMRbDMau,playlist
example_user_id,0RBw4ODUQPO4cuAOZtBGga,playlist
example_user_id,3xKsf9qdS1CyvXSMEid6g8,playlist
example_user_id,4Z59a9hIn8EMsni3OiqGso,playlist
example_user_id,0JmnkIqdlnUzPaf8sqBRs3,playlist
example_user_id,2ZWlPOoWh0626oTaHrnl2a,playlist
example_user_id,2TktkzfozZifbQhXjT6I33,playlist
example_user_id,2pg2TiYo9Rb8KeB5JjP7jS,playlist
example_user_id,232jKM7OzWMfuwHyf9r3dX,playlist
example_user_id,6ET22Ri3FYXi5C8BBqHWcO,playlist
example_user_id,2OpBganfGk2GVdSlRdxzaX,playlist
example_user_id,2Yer0p7uB2lVBUAtANuuQp,playlist
example_user_id,3wJAk2rKEEoYlXSLpLVrkU,playlist
example_user_id,4PawewnYu8lyLk3DX1RCNu,playlist
example_user_id,1RG9wGYVd6YyrYDDUqz2LU,playlist
example_user_id,1ckD1kD5dXuV0LlbWyYcRU,playlist
example_user_id,6U8ckPIrR0xi2a4BdtHDJk,playlist
example_user_id,4at3d5QWnlibMVN75ECDrp,playlist
example_user_id,2Gyc6e2cLxA5hoX1NOvYnU,playlist
example_user_id,2LMkwUfqC6S6s6qDVlEuzV,playlist
example_user_id,2LBqCSwhJGcFQeTHMVGwy3,playlist
example_user_id,5euumi7eqEgmxvCIJw2pSp,playlist
example_user_id,7LpMG3AEaIJgs62HQhAa91,playlist
example_user_id,6r3duEAfFTH83DuoywkG20,playlist
example_user_id,41m3lSQHqeiPs5v9uk57Zd,playlist
example_user_id,14Bcv6siTBPw3TlP84dasC,playlist
example_user_id,6G8xvLFNkXy3HM5EbQI6c8,playlist
example_user_id,7KBG1qVBp3H8zEIYmcFH8T,playlist
example_user_id,5d1rmWWF1725tnYjq6rMDB,playlist
example_user_id,4wuCQX7JvAZLlrcmH4AeZF,playlist
example_user_id,4vIKzWqtn44umal5jXq4wE,playlist
example_user_id,1Bdptrvb7nQkq8kCw3siE9,playlist
example_user_id,0hVXuCcriWRGvwMV1r5Yn9,playlist
example_user_id,2qRN7PWiHRLprw4FpDeI9N,playlist
example_user_id,5FEXPoPnzueFJQCPRIrC3c,playlist
example_user_id,30KctD1WsHKTIYczXjip5a,playlist
example_user_id,4nuAslShoN77tq12fzwjUq,playlist
example_user_id,5XFoaqV1Z8XaLJidchVWhh,playlist
example_user_id,7GX5flRQZVHRAGd6B4TmDO,playlist
example_user_id,0uxSUdBrJy9Un0EYoBowng,playlist
example_user_id,3kW4z2pIj5VY5fLjBrMRL5,playlist
example_user_id,3XiNC94b4Tq1xwv70sQJGN,playlist
example_user_id,0NA5xAtDra50d0Lfs2uvoh,playlist
example_user_id,22ykS8KWpd2r4zcRZ0XMK5,playlist
example_user_id,6LyAwkJsHlW7RQ8S1cYAtM,playlist
example_user_id,1fewSx2d5KIZ04wsooEBOz,playlist
example_user_id,0AluA5RNsa4Cx6XRhf2hWZ,playlist
example_user_id,6rLi6PyWXu1rPlShuIZpj6,playlist
example_user_id,54FJWt8YIA1IHjmUxuDxwi,playlist
example_user_id,3w1WjD2zJqjBjDz5fwqQPJ,playlist
example_user_id,1jaTQ3nqY3oAAYyCTbIvnM,playlist
example_user_id,3ioJs8DQw527GmqJIp5gZG,playlist
example_user_id,1Is8hGpkGMiePASAxBluxM,playlist
example_user_id,76lVWU084mEPxGuRwxHE1K,playlist
example_user_id,6UjwKoH47d2FveB38u8Si9,playlist
example_user_id,5FkoSXiJPKTNyYgALRJFhD,playlist
example_user_id,4MQIDIQjNWkUvpXe5Je7TO,playlist
example_user_id,3eekarcy7kvN4yt5ZFzltW,playlist
example_user_id,1wHZx0LgzFHyeIZkUydNXq,playlist
example_user_id,3xby7fOyqmeON8jsnom0AT,playlist
example_user_id,01Ch5LzVStxCFPKkT1xg6k,playlist
example_user_id,6gBFPUFcJLzWGx4lenP6h2,playlist
example_user_id,1cZlBZwnwGPtYeRIeQcoFh,playlist
